Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Belize,1191.8329,,10.50946,,0.282165923,,385.2,0.07,322.78809,25.83,0,25.83
Benin,321.9592,6.540932,31.51453,42.414284,0.124224095,25,17.53,,180.96579,28.09,0.7267702,28.09
Bhutan,473.79953,,26.09506,33.5,0.162039091,0.86,,0.37,38.416176,10.56,0,10.56
Bolivia,1020.10767,18.21621,25.23416,27.2,0.206910307,12.11,,0.16,525.78604,20.68,295.5994,20.68
Bosnia and Herzegovina,1251.2474,18.721905,26.19402,71.100006,0.353148126,0.00097,,0.4,4814.65005,,443.08508,
Botswana,930.3679,16.394148,12.8184,70.4,0.104649363,1,108.6,4.66,1745.9767,22,0,22
Brazil,1010.81085,27.959206,10.94008,69.84865,0.379239902,1.4,,1.04,486.2429,25.54,208.1249,25.54
Brunei,2657.1567,43.91994,6.86475,,,,,,16206.45876,,2986.5562,
Bulgaria,1410.8108,24.90528,17.29031,85.25,0.406999992,19.03,837.3,1.46,4184.0869,12.28,199.24223,12.28
Burkina Faso,143.49791,2.6655958,40.74491,37.7,0.142195604,12,58.23,1.65,131.502727,,0,
Burundi,51.797516,,27.99587,,0.277682539,,40.22,,8.2575752,20.43,0,20.43
Cambodia,395.3093,11.626744,17.80251,,0.071312617,,,1.87,339.50092,27.25,0,27.25
Cameroon,133.17522,2.171335,56.36692,,0.151027867,0.4,57.6,0.01,314.119784,24.94,211.70515,24.94
Canada,4223.974,96.081375,6.38944,72.9,0.706241157,20.59,,1.23,7071.1256,-4.22,1777.8917,-4.22
Cape Verde,481.0005,,31.08072,,,,48.31,,557.960536,,0,
Central African Republic,47.076935,,27.19802,,0.244936209,,17.15,0.01,3.9230778,25.56,0,25.56
Chad,49.30828,0.5418492,41.15263,,0.114312058,,94.33,0.85,103.493202,27.28,115.955734,27.28
Chile,1595.1489,26.59434,20.48648,86.46,0.387238032,0.37,,4.47,2011.45267,9.37,18.922895,9.37
China,621.2761,10.917923,38.153,55.192593,0.282190895,,418.4,2.8,4896.44306,,440.35855,
Colombia,697.55383,15.46254,14.03552,43.449997,0.261818522,17.2,186.3,0.5,474.1201,24.71,369.16815,24.71
Comoros,419.56818,,14.3724,,0.117069964,,17.38,,167.827265,23.74,0,23.74
Congo,208.7785,3.3139446,29.48397,,,,14.12,,699.2423,,1859.1229,
Cook Islands,3390.5203,,7.80121,,,,,,1356.208,,0,
Costa Rica,1123.6256,19.678207,14.69544,36.325,0.30687903,1.26,,0.65,92.4875705,24.64,0,24.64
Cote d'Ivoire,244.11906,4.2770185,40.41493,50.466663,,,81.99,,359.59856,26.84,27.965122,26.84
Croatia,1702.0597,28.154371,15.28803,88.740005,0.445,16.32,,0.17,1658.5484,13.16,40.951813,13.16
Cuba,107.59667,1.8083473,13.31979,55.61111,0.238213601,9.49,,1.65,1033.470486,26.14,56.05877,26.14
Cyprus,1412.0729,30.044104,14.51621,90.2,0.641999979,13.31,214.5,5,2658.90312,19.33,0,19.33
Czechia,1802.6432,35.603138,14.34125,90.36875,,,186.6,1.84,5635.6023,,218.30345,
Democratic Republic of Congo,46.58341,0.68361396,31.57858,11,,,11.46,,211.4320291,,14.355893,
Denmark,1887.2078,40.657974,9.65653,93.71,0.84399996,27.27,124.4,0.95,1848.24386,9.77,69.457375,9.77
Djibouti,140.7087,,19.98484,,0.154106155,,25.49,3.18,149.502995,28.6,0,28.6
Dominica,747.97675,,8.22238,,0.18198895,,237.8,,1645.54884,26.68,0,26.68
Dominican Republic,772.87915,13.356207,7.58534,15.685715,0.385995243,8.2,550.8,1.6,1412.1962,24.57,0,24.57
East Timor,182.57516,,20.47387,,,,,,226.39322,,1131.9661,
Ecuador,1152.9463,19.636555,16.54855,33.784615,0.328115114,12.9,716.7,0.66,607.61111,21.07,619.9541,21.07
Egypt,502.05008,8.257986,63.15743,21.8125,,,963.2,4.85,1097.246655,23.23,230.86844,23.23
El Salvador,659.20245,12.738213,22.15224,28.4,0.267493305,,234.3,1.95,267.50245,,9.553659,
